TimeStamp,Code
3981.449,resume
3987.839,pause
3989.5794,resume
3995.5012,pause
3997.7716,resume
4003.6321,pause
4006.6812,resume
4012.5181,pause
4015.2827,resume
4021.2848,pause
4022.2973,resume
4028.3892,pause
4031.972,resume
4037.6102,pause
4041.2925,resume
4047.2317,pause
4049.6933,resume
4055.6384,pause
4058.0859,resume
4064.0261,pause
4066.0729,resume
4072.319,pause
4074.4212,resume
4080.4212,pause
4084.1292,resume
4090.1381,pause
4090.8538,resume
4097.0998,pause
4098.3297,resume
4104.575,pause
4106.114,resume
4112.1526,pause
4114.0773,resume
4120.3446,pause
4121.5857,resume
4127.5128,end
