TimeStamp,Code
3981.4489,start
3981.449,pause
3987.839,resume
3989.5794,pause
3995.5012,resume
3997.7716,pause
4003.6321,resume
4006.6812,pause
4012.5181,resume
4015.2827,pause
4021.2848,resume
4022.2973,pause
4028.3892,resume
4031.972,pause
4037.6102,resume
4041.2925,pause
4047.2317,resume
4049.6933,pause
4055.6384,resume
4058.0859,pause
4064.0261,resume
4066.0729,pause
4072.319,resume
4074.4212,pause
4080.4212,resume
4084.1292,pause
4090.1381,resume
4090.8538,pause
4097.0998,resume
4098.3297,pause
4104.575,resume
4106.114,pause
4112.1526,resume
4114.0773,pause
4120.3446,resume
4121.5857,pause
4127.5128,end
